CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,WEATHER_CONDITION,LIGHTING_CONDITION,TRAFFICWAY_TYPE,ROADWAY_SURFACE_COND,CRASH_TYPE,HIT_AND_RUN_I,PRIM_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,DOORING_I,MOST_SEVERE_INJURY,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE
09/28/2021 08:45:00 PM,30,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,FAILING TO YIELD RIGHT-OF-WAY,1301,N,HALSTED ST,Y,NONINCAPACITATING INJURY,0,0,1,20,3,9,41.90516365,-87.64797587
11/30/2018 07:45:00 AM,30,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,ONE-WAY,WET,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,740,W,RANDOLPH ST,,NONINCAPACITATING INJURY,0,0,1,7,6,11,41.88451686,-87.64739068
08/23/2021 02:00:00 PM,30,NO CONTROLS,CLEAR,DAYLIGHT,FOUR WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,Y,UNABLE TO DETERMINE,1299,W,18TH ST,,NONINCAPACITATING INJURY,0,0,1,14,2,8,41.85780174,-87.65881231
8/1/2019 9:10,30,NO CONTROLS,CLEAR,DAYLIGHT,OTHER,DRY,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,808,W,LAKE ST,,"REPORTED, NOT EVIDENT",0,0,0,9,5,8,41.88576729,-87.64788567
06/20/2018 07:50:00 AM,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,Y,FAILING TO YIELD RIGHT-OF-WAY,2600,W,IRVING PARK RD,,NONINCAPACITATING INJURY,0,0,1,7,4,6,41.95410572,-87.69329037
06/28/2018 06:21:00 PM,20,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,INJURY AND / OR TOW DUE TO CRASH,Y,FAILING TO YIELD RIGHT-OF-WAY,800,W,GRAND AVE,,"REPORTED, NOT EVIDENT",0,0,0,18,5,6,41.89129371,-87.64768059
8/2/2018 12:15,30,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,UNABLE TO DETERMINE,499,E,69TH ST,,NO INDICATION OF INJURY,0,0,0,12,5,8,41.76936174,-87.61354934
9/12/2017 16:00,30,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO INJURY / DRIVE AWAY,,UNABLE TO DETERMINE,3250,N,CALIFORNIA AVE,,NO INDICATION OF INJURY,0,0,0,16,3,9,41.94088806,-87.69801802
07/22/2023 11:50:00 AM,30,NO CONTROLS,CLEAR,DAYLIGHT,ONE-WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,980,N,MIES VAN DER ROHE WAY,,NONINCAPACITATING INJURY,0,0,1,11,7,7,,
8/4/2020 9:58,20,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,TRAFFIC ROUTE,DRY,INJURY AND / OR TOW DUE TO CRASH,,DRIVING ON WRONG SIDE/WRONG WAY,1100,W,BARRY AVE,,INCAPACITATING INJURY,0,1,0,9,3,8,41.93816255,-87.65653845
7/1/2020 8:40,30,NO CONTROLS,RAIN,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,1450,N,LARRABEE ST,Y,NONINCAPACITATING INJURY,0,0,1,8,4,7,41.90800941,-87.64349109
10/17/2016 01:30:00 PM,30,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,2831,N,LINCOLN AVE,Y,NONINCAPACITATING INJURY,0,0,1,13,2,10,41.93334165,-87.65959186
08/25/2016 04:50:00 PM,30,OTHER,CLEAR,DAYLIGHT,NOT DIVIDED,UNKNOWN,NO INJURY / DRIVE AWAY,,UNABLE TO DETERMINE,2358,W,FOSTER AVE,,NO INDICATION OF INJURY,0,0,0,16,5,8,41.97600184,-87.68909264
11/4/2021 18:13,30,TRAFFIC SIGNAL,CLEAR,DAWN,DIVIDED - W/MEDIAN (NOT RAISED),DRY,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,2200,W,ADDISON ST,,NONINCAPACITATING INJURY,0,0,1,18,5,11,41.94690911,-87.68346989
8/1/2020 18:55,30,NO CONTROLS,RAIN,DUSK,DIVIDED - W/MEDIAN (NOT RAISED),WET,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,1130,W,WILSON AVE,Y,"REPORTED, NOT EVIDENT",0,0,0,18,7,8,41.96549337,-87.65871372
8/6/2018 21:09,30,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,Y,UNABLE TO DETERMINE,640,S,WABASH AVE,Y,NO INDICATION OF INJURY,0,0,0,21,2,8,41.87354608,-87.62612252
7/10/2021 8:45,0,NO CONTROLS,CLEAR,DAYLIGHT,OTHER,DRY,INJURY AND / OR TOW DUE TO CRASH,,NOT APPLICABLE,2021,N,STOCKTON DR,,"REPORTED, NOT EVIDENT",0,0,0,8,7,7,41.91907804,-87.63453812
6/12/2023 17:42,20,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,T-INTERSECTION,DRY,INJURY AND / OR TOW DUE TO CRASH,,FAILING TO YIELD RIGHT-OF-WAY,5700,W,PALMER ST,,NONINCAPACITATING INJURY,0,0,1,17,2,6,41.92040401,-87.76835002
06/28/2020 09:30:00 AM,35,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,Y,FOLLOWING TOO CLOSELY,1859,N,ELSTON AVE,,NO INDICATION OF INJURY,0,0,0,9,1,6,41.91638143,-87.66618973
04/28/2020 04:25:00 PM,25,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,FOLLOWING TOO CLOSELY,1530,W,34TH ST,,NO INDICATION OF INJURY,0,0,0,16,3,4,41.83246829,-87.66429187
06/27/2023 11:50:00 AM,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,ONE-WAY,UNKNOWN,NO INJURY / DRIVE AWAY,,UNABLE TO DETERMINE,4905,N,KEDZIE AVE,,NO INDICATION OF INJURY,0,0,0,11,3,6,41.97047786,-87.70838612
7/6/2018 22:20,30,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN BARRIER,DRY,INJURY AND / OR TOW DUE TO CRASH,Y,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",3197,W,NORTH AVE,,NONINCAPACITATING INJURY,0,0,1,22,6,7,41.91000573,-87.70689504
10/16/2020 11:00:00 AM,35,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,UNABLE TO DETERMINE,1016,W,ARMITAGE AVE,Y,NO INDICATION OF INJURY,0,0,0,11,6,10,41.91820374,-87.65409375
09/22/2021 07:32:00 PM,30,TRAFFIC SIGNAL,CLEAR,"DARKNESS, LIGHTED ROAD",FOUR WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,600,W,DIVISION ST,,NONINCAPACITATING INJURY,0,0,1,19,4,9,41.90382523,-87.64328636
7/4/2023 22:40,30,STOP SIGN/FLASHER,CLEAR,"DARKNESS, LIGHTED ROAD",DIVIDED - W/MEDIAN BARRIER,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,800,W,LAWRENCE AVE,,"REPORTED, NOT EVIDENT",0,0,0,22,3,7,41.96926107,-87.65042273
06/16/2021 10:25:00 AM,30,NO CONTROLS,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN (NOT RAISED),DRY,INJURY AND / OR TOW DUE TO CRASH,Y,FAILING TO YIELD RIGHT-OF-WAY,2049,N,DAMEN AVE,,NONINCAPACITATING INJURY,0,0,1,10,4,6,41.91929841,-87.67752879
04/14/2023 03:29:00 PM,25,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,FOUR WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,,DISREGARDING TRAFFIC SIGNALS,302,W,WASHINGTON ST,,"REPORTED, NOT EVIDENT",0,0,0,15,6,4,41.88331469,-87.63547051
03/17/2019 03:50:00 PM,35,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,DIVIDED - W/MEDIAN BARRIER,DRY,INJURY AND / OR TOW DUE TO CRASH,,FAILING TO REDUCE SPEED TO AVOID CRASH,6299,S,LAKE SHORE DR,,"REPORTED, NOT EVIDENT",0,0,0,15,1,3,,
12/23/2020 08:05:00 AM,30,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,UNABLE TO DETERMINE,3100,N,HALSTED ST,,NO INDICATION OF INJURY,0,0,0,8,4,12,,
7/4/2020 18:48,30,TRAFFIC SIGNAL,CLEAR,DARKNESS,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,UNABLE TO DETERMINE,6252,S,ASHLAND AVE,,NONINCAPACITATING INJURY,0,0,1,18,7,7,41.77972433,-87.6643735
8/5/2019 10:30,30,TRAFFIC SIGNAL,UNKNOWN,DAYLIGHT,NOT DIVIDED,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,Y,UNABLE TO DETERMINE,2398,W,FOSTER AVE,,"REPORTED, NOT EVIDENT",0,0,0,10,2,8,41.97600184,-87.68909264
10/10/2018 9:41,35,YIELD,CLEAR,DARKNESS,DIVIDED - W/MEDIAN (NOT RAISED),DRY,INJURY AND / OR TOW DUE TO CRASH,,FAILING TO YIELD RIGHT-OF-WAY,3900,W,CHICAGO AVE,,NONINCAPACITATING INJURY,0,0,1,9,4,10,41.89549951,-87.72369955
07/14/2020 03:30:00 PM,25,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,FOUR WAY,DRY,NO INJURY / DRIVE AWAY,,UNABLE TO DETERMINE,402,E,48TH ST,,NO INDICATION OF INJURY,0,0,0,15,3,7,41.80768021,-87.6160848
8/11/2020 19:00,30,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,DRIVING ON WRONG SIDE/WRONG WAY,7641,W,FOREST PRESERVE AVE,,NONINCAPACITATING INJURY,0,0,1,19,3,8,41.94836149,-87.81822993
4/8/2021 16:22,25,UNKNOWN,RAIN,DAWN,NOT DIVIDED,WET,INJURY AND / OR TOW DUE TO CRASH,,NOT APPLICABLE,1623,N,HALSTED ST,,NONINCAPACITATING INJURY,0,0,1,16,5,4,41.91165375,-87.64814579
9/10/2017 17:05,25,STOP SIGN/FLASHER,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,FAILING TO YIELD RIGHT-OF-WAY,1400,W,WEBSTER AVE,,NONINCAPACITATING INJURY,0,0,1,17,1,9,41.92172981,-87.6632342
01/24/2018 05:44:00 PM,30,TRAFFIC SIGNAL,CLEAR,DARKNESS,DIVIDED - W/MEDIAN BARRIER,DRY,INJURY AND / OR TOW DUE TO CRASH,Y,DISREGARDING TRAFFIC SIGNALS,1700,S,KEDZIE AVE,,INCAPACITATING INJURY,0,1,0,17,4,1,,
7/10/2019 19:40,30,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,NO INJURY / DRIVE AWAY,,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,443,N,STATE ST,,NO INDICATION OF INJURY,0,0,0,19,4,7,41.89054065,-87.62787986
9/11/2020 7:30,30,TRAFFIC SIGNAL,CLEAR,DAYLIGHT,NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,Y,DISREGARDING TRAFFIC SIGNALS,3601,N,BROADWAY,N,NONINCAPACITATING INJURY,0,0,1,7,6,9,41.94744579,-87.64717038
11/22/2017 08:45:00 PM,30,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",NOT DIVIDED,DRY,INJURY AND / OR TOW DUE TO CRASH,,FAILING TO YIELD RIGHT-OF-WAY,3547,N,LINCOLN AVE,Y,NONINCAPACITATING INJURY,0,0,1,20,4,11,41.94650676,-87.67327031
01/15/2023 02:40:00 PM,30,NO CONTROLS,CLEAR,DAYLIGHT,NOT DIVIDED,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,,IMPROPER OVERTAKING/PASSING,3946,N,DAMEN AVE,,"REPORTED, NOT EVIDENT",0,0,0,14,1,1,41.95372326,-87.67888784
10/2/2016 14:30,30,STOP SIGN/FLASHER,UNKNOWN,DAYLIGHT,NOT DIVIDED,UNKNOWN,INJURY AND / OR TOW DUE TO CRASH,,FAILING TO YIELD RIGHT-OF-WAY,3300,N,BROADWAY,,NONINCAPACITATING INJURY,0,0,1,14,1,10,41.94188302,-87.644605
3/1/2023 18:34,25,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",ONE-WAY,DRY,INJURY AND / OR TOW DUE TO CRASH,Y,IMPROPER LANE USAGE,21,W,GOETHE ST,,INCAPACITATING INJURY,0,1,0,18,4,3,41.90569783,-87.62970456
